Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
10000.0,2008-03-29,Debt consolidation,668.0,31.14%,797xx,TX,< 1 year,0.0
8000.0,2008-03-29,consolidations help,798.0,2.37%,452xx,OH,7 years,0.0
3500.0,2008-03-29,Single mom needs a little help,506.0,24.07%,553xx,MN,10+ years,0.0
13000.0,2008-03-29,Co-Signed for Family Member,519.0,13.4%,450xx,OH,10+ years,0.0
5500.0,2008-03-29,To bring credit card's to 50%,665.0,36%,146xx,NY,6 years,0.0
10000.0,2008-03-29,Looking For Tomarrow Today,,-1%,853xx,AZ,2 years,0.0
6000.0,2008-03-29,Better family Living condition,568.0,0%,359xx,AL,8 years,0.0
500.0,2008-03-29,Bills,553.0,44.04%,751xx,TX,2 years,0.0
25000.0,2008-03-29,help,0.0,0%,167xx,PA,10+ years,0.0
5000.0,2008-03-29,Starting A New Life,0.0,0%,497xx,MI,3 years,0.0
25000.0,2008-03-29,Banker with highly profitable businesses,741.0,1.49%,152xx,PA,< 1 year,0.0
15000.0,2008-03-29,degree,438.0,1.96%,238xx,VA,2 years,0.0
5000.0,2008-03-29,Get out of Debt,470.0,12.27%,141xx,NY,1 year,0.0
1500.0,2008-03-29,College Tuition & other Debts,703.0,4.73%,551xx,MN,< 1 year,0.0
5000.0,2008-03-29,wedding,591.0,2.35%,441xx,OH,4 years,0.0
18000.0,2008-03-29,car loan,589.0,0%,982xx,WA,< 1 year,0.0
3000.0,2008-03-29,Credit Card Consolidation,596.0,42.93%,240xx,VA,10+ years,0.0
25000.0,2008-03-29,Funds to improve home value/ease of use,640.0,1.09%,071xx,NJ,10+ years,0.0
10000.0,2008-03-29,kill my credit card,636.0,11.21%,060xx,CT,4 years,0.0
500.0,2008-03-29,Initial Summer Housing payment,557.0,45.47%,922xx,CA,< 1 year,0.0
7500.0,2008-03-29,"Why am I paying $1,000 in interest?",526.0,13.24%,336xx,FL,2 years,0.0
3000.0,2008-03-29,Daughters college education,569.0,15.45%,276xx,NC,9 years,0.0
2500.0,2008-03-29,Moved to Texas To Help W/ Grandpa,456.0,50.63%,769xx,TX,< 1 year,0.0
10000.0,2008-03-29,Home Loan,572.0,9.48%,478xx,IN,1 year,0.0
17000.0,2008-03-29,Divorcing and need to consolidate debt,712.0,43.68%,582xx,ND,1 year,0.0
3500.0,2008-03-29,Kitchen upgrade,504.0,0.27%,601xx,IL,8 years,0.0
20000.0,2008-03-29,Soldier wants to pay off credit debt,680.0,32.15%,221xx,VA,10+ years,0.0
20000.0,2008-03-29,A down payment for a house.,634.0,1.04%,302xx,GA,4 years,0.0
12200.0,2008-03-29,Credit Card Debt,614.0,34.17%,606xx,IL,< 1 year,0.0
2500.0,2008-03-29,personal,595.0,3.59%,191xx,PA,3 years,0.0
25000.0,2008-03-29,Coffee Biz plan ,633.0,16.2%,567xx,MN,7 years,0.0
5000.0,2008-03-29,Getting Back on My FeeT,451.0,3%,800xx,CO,< 1 year,0.0
10000.0,2008-03-29,Business Expansion,650.0,12.41%,401xx,KY,10+ years,0.0
7500.0,2008-03-29,REALLY NEED TO GET A CONSOLIDATION LOAN,454.0,1.7%,220xx,VA,< 1 year,0.0
8000.0,2008-03-29,Personal Loan,515.0,0%,451xx,OH,6 years,0.0
6000.0,2008-03-29,"better rates, better people",689.0,14.3%,048xx,ME,4 years,0.0
2000.0,2008-03-29,Major Car Repair,549.0,0%,452xx,OH,1 year,0.0
15000.0,2008-03-29,Lower my rate,680.0,63.91%,328xx,FL,10+ years,0.0
10000.0,2008-03-29,Van for work,516.0,233.22%,923xx,CA,1 year,0.0
15000.0,2008-03-29,getting my online business started,,-1%,237xx,VA,< 1 year,0.0
5900.0,2008-03-29,I need help fixing my bathroom ,477.0,27.22%,640xx,MO,< 1 year,0.0
1000.0,2008-03-29,HELP ME,459.0,42.4%,197xx,DE,1 year,0.0
11000.0,2008-03-29,A New Beginning!,515.0,5.44%,276xx,NC,10+ years,0.0
9000.0,2008-03-29,Debt consolidation,479.0,23.95%,640xx,MO,< 1 year,0.0
15000.0,2008-03-29,Debt Relief,512.0,19.81%,932xx,CA,2 years,0.0
1000.0,2008-03-29,second hand car,,-1%,323xx,FL,1 year,0.0
5500.0,2008-03-29,Paying off credit card,592.0,15.56%,104xx,NY,7 years,0.0
2000.0,2008-03-30,Upgrade a website to handle advertising,613.0,0%,152xx,PA,1 year,0.0
22000.0,2008-03-30,Credit Card Debt,724.0,40.69%,853xx,AZ,< 1 year,0.0
6000.0,2008-03-30,Better Start Loan,548.0,0%,277xx,NC,1 year,0.0
10000.0,2008-03-30,Credit Card Debt Fiasco,666.0,27.23%,594xx,MT,3 years,0.0
12500.0,2008-03-30,Refinance CC,693.0,33.18%,200xx,DC,4 years,0.0
25000.0,2008-03-30,Debt Consolidation,429.0,30.49%,760xx,TX,< 1 year,0.0
25000.0,2008-03-30,Phoenix(in spirit)wants to rise...,518.0,0%,071xx,NJ,2 years,0.0
7000.0,2008-03-30,Pay Cards and Improve Credit,635.0,16.1%,217xx,MD,< 1 year,0.0
13000.0,2008-03-30,"Newborn son, help us save some money",641.0,2.9%,984xx,WA,< 1 year,0.0
9000.0,2008-03-30,I am trying to get my credit better ,0.0,0%,430xx,OH,4 years,0.0
10000.0,2008-03-30,opening new business,,-1%,339xx,FL,7 years,0.0
25000.0,2008-03-30,Have 2-lots vacant land and need loan ,505.0,17.97%,349xx,FL,1 year,0.0
12000.0,2008-03-30,My dream loan!!!,483.0,16.69%,282xx,NC,6 years,0.0
8000.0,2008-03-30,Getting payments under one roof,503.0,51.1%,727xx,AR,< 1 year,0.0
6000.0,2008-03-30,Needing a car desperately,0.0,0%,882xx,NM,< 1 year,0.0
2000.0,2008-03-30,Paying off Car Loan,627.0,0.49%,109xx,NY,1 year,0.0
20000.0,2008-03-30,Getting Back on Track,558.0,11.93%,605xx,IL,2 years,0.0
5000.0,2008-03-30,Pay off  other debts,576.0,38.4%,486xx,MI,4 years,0.0
25000.0,2008-03-30,pay off debt at a better rate,651.0,38.42%,329xx,FL,10+ years,0.0
20000.0,2008-03-30,Consolidate Debt,720.0,12.47%,660xx,KS,8 years,0.0
8000.0,2008-03-30,Wanting to further my education,662.0,4.31%,371xx,TN,< 1 year,0.0
10000.0,2008-03-30,Car Loan,586.0,3.3%,606xx,IL,< 1 year,0.0
25000.0,2008-03-30,Opportunity to Reinvest in Lending Club,772.0,0%,100xx,NY,2 years,0.0
25000.0,2008-03-30,My Wife's Dental Expenses,651.0,4.68%,954xx,CA,2 years,0.0
25000.0,2008-03-30,credit card consolidation,689.0,15.43%,100xx,NY,3 years,0.0
15000.0,2008-03-30,Time to cut up the credit cards!,599.0,19%,294xx,SC,2 years,0.0
15000.0,2008-03-30,Continuing education.,626.0,30.89%,300xx,GA,4 years,0.0
1000.0,2008-03-30,School Book Money,540.0,84.6%,923xx,CA,< 1 year,0.0
10000.0,2008-03-30,down payment and improvements,610.0,4.51%,478xx,IN,10+ years,0.0
12000.0,2008-03-30,back on track,591.0,22.33%,921xx,CA,< 1 year,0.0
2800.0,2008-03-30,Auto repair & Security Dep. Short-Term,427.0,27.12%,028xx,RI,1 year,0.0
25000.0,2008-03-30,Debt Relief,601.0,38.16%,371xx,TN,9 years,0.0
25000.0,2008-03-30,stressfree,694.0,32.17%,953xx,CA,3 years,0.0
6000.0,2008-03-30,Business Startup Expenses,545.0,20.66%,300xx,GA,10+ years,0.0
9000.0,2008-03-30,education funds,581.0,9.82%,336xx,FL,2 years,0.0
10000.0,2008-03-30,paying off some bill's ,607.0,2.98%,100xx,NY,1 year,0.0
25000.0,2008-03-30,Debt Consolidation,713.0,28.02%,921xx,CA,6 years,0.0
6000.0,2008-03-30,Pay off CC debt,534.0,22.92%,941xx,CA,2 years,0.0
17000.0,2008-03-30,debt consolidation,660.0,14.27%,331xx,FL,5 years,0.0
15000.0,2008-03-30,loan to pay off debt,470.0,38.35%,891xx,NV,2 years,0.0
10000.0,2008-03-30,to pay off credit cards and payday loans,,-1%,841xx,UT,10+ years,0.0
6000.0,2008-03-30,Home Improvement Loan,641.0,6.2%,757xx,TX,2 years,0.0
10000.0,2008-03-30,consolidating debt,657.0,25.2%,490xx,MI,1 year,0.0
13500.0,2008-03-30,I'd rather have you make money.....,641.0,29.25%,142xx,NY,9 years,0.0
15000.0,2008-03-30,Paying off debt,613.0,44.65%,241xx,VA,< 1 year,0.0
19000.0,2008-03-30,Payoff Mortgage,736.0,9.22%,446xx,OH,10+ years,0.0
10000.0,2008-03-30,spanish,439.0,12.56%,440xx,OH,2 years,0.0
7000.0,2008-03-30,Home Improvement,711.0,15.08%,484xx,MI,3 years,0.0
2000.0,2008-03-30,Really needing a bleesing?,,-1%,191xx,PA,< 1 year,0.0
10000.0,2008-03-30,School loan,520.0,31.8%,923xx,CA,1 year,0.0
1250.0,2008-03-30,"Consolodating old debt, secure job",587.0,0%,221xx,VA,< 1 year,0.0
1300.0,2008-03-31,WOUNDED VETERAN IN NEED  *VEHICLE REPAIR,426.0,2.79%,932xx,CA,2 years,0.0
3000.0,2008-03-31,need a better truck,531.0,254.86%,280xx,NC,< 1 year,0.0
7000.0,2008-03-31,Delinquishing my Debt,569.0,0%,322xx,FL,6 years,0.0
25000.0,2008-03-31,Payoff higher interest credit cards,734.0,11.97%,074xx,NJ,3 years,0.0
15000.0,2008-03-31,Unsecured loan,571.0,30.85%,460xx,IN,10+ years,0.0
14000.0,2008-03-31,Debt Consolidation,797.0,5.46%,480xx,MI,10+ years,0.0
7000.0,2008-03-31,Gettin ready for new baby,662.0,59.52%,683xx,NE,1 year,0.0
3200.0,2008-03-31,Pay off high interest Payday loans,515.0,10.9%,605xx,IL,8 years,0.0
20000.0,2008-03-31,Debt Consolidation,614.0,13.18%,917xx,CA,10+ years,0.0
25000.0,2008-03-31,Property Mitigation,594.0,0%,926xx,CA,8 years,0.0
15000.0,2008-03-31,Partial deposit toward new home,763.0,40.17%,911xx,CA,4 years,0.0
8000.0,2008-03-31,11th Hour,560.0,33.65%,312xx,GA,5 years,0.0
17500.0,2008-03-31,Quick Help requested - Short Term Loan,634.0,7.34%,400xx,KY,10+ years,0.0
9000.0,2008-03-31,Surgery,492.0,2.05%,060xx,CT,9 years,0.0
12500.0,2008-03-31,Business Loan to Expand Business,554.0,4.04%,190xx,PA,6 years,0.0
7000.0,2008-03-31,90 Days living and Moving Expenses,540.0,23.76%,222xx,VA,10+ years,0.0
2000.0,2008-03-31,Need to pay off allot of unexpected bill,,-1%,950xx,CA,2 years,0.0
10000.0,2008-03-31,Bevt,686.0,35.57%,917xx,CA,10+ years,0.0
12000.0,2008-03-31,Consolidate debt for education,622.0,23.08%,215xx,MD,2 years,0.0
2150.0,2008-03-31,Photo Equipment Update,0.0,0%,275xx,NC,10+ years,0.0
12500.0,2008-03-31,Credit Card Refinance,665.0,56.08%,200xx,DC,< 1 year,0.0
6000.0,2008-03-31,Family in need,657.0,12.48%,337xx,FL,1 year,0.0
2200.0,2008-03-31,personal loan,553.0,28.28%,370xx,TN,< 1 year,0.0
10000.0,2008-03-31,PAYMENT FOR IRS DEBT.,536.0,0%,066xx,CT,3 years,0.0
10000.0,2008-03-31,Reliable Transportation,512.0,0%,480xx,MI,9 years,0.0
13000.0,2008-03-31,brian moore loan,644.0,2.13%,349xx,FL,2 years,0.0
3500.0,2008-03-31,Loan To Pay Taxes,632.0,36.19%,640xx,MO,10+ years,0.0
10000.0,2008-03-31,CREDIT CARD MAKEOVER,,-1%,070xx,NJ,6 years,0.0
15000.0,2008-03-31,Pay-off loan,548.0,4.01%,604xx,IL,10+ years,0.0
500.0,2008-03-31,Need a loan for 10 days,506.0,0.24%,342xx,FL,2 years,0.0
6000.0,2008-03-31,Wants to rebuild credit score,504.0,21.94%,740xx,OK,1 year,0.0
20000.0,2008-03-31,paying off dept,573.0,14.56%,301xx,GA,< 1 year,0.0
6000.0,2008-03-31,Desperately needs an automobile!!!,598.0,6%,352xx,AL,1 year,0.0
6500.0,2008-03-31,Get rid of credit card debt,604.0,9.13%,207xx,MD,3 years,0.0
5500.0,2008-03-31,Business Loan,512.0,8.48%,065xx,CT,10+ years,0.0
5000.0,2008-03-31,sending my daughter off to school,477.0,5.33%,937xx,CA,10+ years,0.0
15000.0,2008-03-31,credit card pay off,523.0,24.61%,067xx,CT,10+ years,0.0
7500.0,2008-03-31,first timer,550.0,4.5%,441xx,OH,3 years,0.0
4500.0,2008-03-31,Personal loan,489.0,0%,985xx,WA,< 1 year,0.0
8500.0,2008-03-31,having one payment,534.0,8.58%,458xx,OH,9 years,0.0
2000.0,2008-03-31,Fixing my car for work,586.0,4%,797xx,TX,1 year,0.0
15000.0,2008-03-31,debt_consolidation,,0%,945xx,CA,< 1 year,0.0
7000.0,2008-03-31,Consolidate Multiple Payments!,613.0,17.55%,741xx,OK,3 years,0.0
25000.0,2008-03-31,pay off cars,566.0,1.2%,437xx,OH,< 1 year,0.0
4900.0,2008-03-31,medical procedures,447.0,0%,471xx,IN,6 years,0.0
5000.0,2008-03-31,Car Loan,684.0,11.22%,902xx,CA,6 years,0.0
5000.0,2008-03-31,Loan for Music Production Company,401.0,0%,850xx,AZ,6 years,0.0
20000.0,2008-03-31,Dual Pulse Capacitive Welder,710.0,35.76%,440xx,OH,10+ years,0.0
2250.0,2008-03-31,Mini Loan for Giant Dream! College Grad ,475.0,417600%,323xx,FL,1 year,0.0
10000.0,2008-03-31,fresh start,484.0,20.89%,462xx,IN,9 years,0.0
20000.0,2008-03-31,Let me get consolidated.. Please.,616.0,16.62%,152xx,PA,2 years,0.0
2500.0,2008-03-31,Need to Pay off old credit card,590.0,46.35%,285xx,NC,8 years,0.0
20000.0,2008-03-31,did'nt realise how easy this could be.,725.0,8.78%,117xx,NY,9 years,0.0
20000.0,2008-03-31,Consolidate 2 credit cards,610.0,7.96%,461xx,IN,1 year,0.0
500.0,2008-03-31,loan1,707.0,19.2%,871xx,NM,10+ years,0.0
25000.0,2008-03-31,Enviro/Green Business Venture,524.0,22.46%,920xx,CA,< 1 year,0.0
2500.0,2008-03-31,home improvement,548.0,5.8%,300xx,GA,< 1 year,0.0
15000.0,2008-03-31,first home needs improvement,658.0,14.68%,604xx,IL,4 years,0.0
1000.0,2008-03-31,Please take a chance on us,538.0,0%,614xx,IL,1 year,0.0
1500.0,2008-03-31,Getting rid of credit cards for School!!,0.0,9.84%,750xx,TX,< 1 year,0.0
1000.0,2008-04-01,my home,,-1%,958xx,CA,< 1 year,0.0
10000.0,2008-04-01,Consolidate Debt,640.0,47.77%,088xx,NJ,3 years,0.0
3500.0,2008-04-01,Getting MBA,682.0,30.11%,130xx,NY,1 year,0.0
20000.0,2008-04-01,Debt Consolidation,718.0,17.74%,283xx,NC,10+ years,0.0
20000.0,2008-04-01,paying debt,630.0,734.4%,121xx,NY,< 1 year,0.0
2500.0,2008-04-01,Payoff Payday Loans,448.0,6.24%,476xx,IN,10+ years,0.0
25000.0,2008-04-01,Individual looking achieve dream,543.0,30.24%,103xx,NY,5 years,0.0
7500.0,2008-04-01,Easy Credit Card Consolidate,621.0,3.09%,531xx,WI,2 years,0.0
10000.0,2008-04-01,Credit Card Refinancing,545.0,30.74%,208xx,MD,1 year,0.0
15000.0,2008-04-01,pay off bills and increase credit score,490.0,64.52%,550xx,MN,1 year,0.0
3500.0,2008-04-01,pERSONAL,,-1%,166xx,PA,< 1 year,0.0
20000.0,2008-04-01,credit cards,627.0,28.78%,300xx,GA,3 years,0.0
25000.0,2008-04-01,Consolidate Debt,681.0,20.22%,297xx,SC,4 years,0.0
1500.0,2008-04-01,my 9 year old needs food and i need car,418.0,8.57%,278xx,NC,< 1 year,0.0
1000.0,2008-04-01,moving into a bigger home,,-1%,282xx,NC,1 year,0.0
10000.0,2008-04-01,"Looking for a $10,000 Loan for Florida",574.0,0%,064xx,CT,< 1 year,0.0
10000.0,2008-04-01,medical,397.0,22.2%,207xx,MD,1 year,0.0
12000.0,2008-04-01,personal loan,698.0,55.29%,750xx,TX,< 1 year,0.0
10000.0,2008-04-01,home,0.0,0%,207xx,MD,1 year,0.0
12000.0,2008-04-01,personal loan,699.0,43.02%,750xx,TX,< 1 year,0.0
1000.0,2008-04-01,Baby Loan,549.0,14.3%,360xx,AL,< 1 year,0.0
20000.0,2008-04-01,Consolidates debts to sleep well,,-1%,331xx,FL,2 years,0.0
4000.0,2008-04-01,PAY OFF CURRENT DEBT FINALLY,533.0,37.25%,030xx,NH,8 years,0.0
25000.0,2008-04-01,Expand Business,801.0,0%,300xx,GA,6 years,0.0
19000.0,2008-04-01,Credit Card Consolidation Loan,699.0,13.57%,750xx,TX,2 years,0.0
5000.0,2008-04-01,College tuition,,-1%,532xx,WI,3 years,0.0
25000.0,2008-04-01,reduces debt,603.0,48%,227xx,VA,10+ years,0.0
5000.0,2008-04-01,my loan,449.0,10.02%,373xx,TN,< 1 year,0.0
2000.0,2008-04-01,school,543.0,10.27%,330xx,FL,< 1 year,0.0
1500.0,2008-04-01,Get Caught Up,671.0,0%,328xx,FL,< 1 year,0.0
3000.0,2008-04-01,Personal loan,441.0,0.42%,992xx,WA,10+ years,0.0
25000.0,2008-04-01,Adopting a Child,697.0,43.51%,640xx,MO,< 1 year,0.0
2500.0,2008-04-01,To give my bride a special day,536.0,11.01%,336xx,FL,2 years,0.0
7000.0,2008-04-01,catch up/pay down bills ,550.0,0.94%,113xx,NY,10+ years,0.0
12000.0,2008-04-01,I Want To Give Her A Day Free Of Stress!,595.0,20.91%,641xx,MO,< 1 year,0.0
2350.0,2008-04-01,Credit card elimination,696.0,35.93%,487xx,MI,6 years,0.0
6500.0,2008-04-01,reduce credit card interest rate,576.0,14.86%,119xx,NY,< 1 year,0.0
10000.0,2008-04-01,Consolidation,726.0,12.72%,798xx,TX,5 years,0.0
10500.0,2008-04-01,Consolidate Debt due to Medical Crisis,626.0,17.82%,836xx,ID,10+ years,0.0
16000.0,2008-04-01,"Outstanding Credit, Very Low Risk",686.0,10.64%,752xx,TX,7 years,0.0
10000.0,2008-04-01,Looking to Establish Credit,690.0,0.18%,606xx,IL,10+ years,0.0
6000.0,2008-04-01,Please Help My Family!,473.0,13.52%,185xx,PA,5 years,0.0
4250.0,2008-04-01,personal,593.0,26.52%,468xx,IN,8 years,0.0
5000.0,2008-04-01,Wedding help: rings and honeymoon,,-1%,770xx,TX,< 1 year,0.0
18000.0,2008-04-01,To pay off high interest bills ,659.0,17.75%,197xx,DE,2 years,0.0
22500.0,2008-04-01,Please Help Me !!!! ,485.0,3.17%,071xx,NJ,3 years,0.0
32000.0,2008-04-01,"Single Father needs ""helping hand""",629.0,25.63%,794xx,TX,10+ years,0.0
2000.0,2008-04-01,I need a new computer!,548.0,1.64%,956xx,CA,< 1 year,0.0
800.0,2008-04-01,"Please Help me, Help me",523.0,0%,891xx,NV,1 year,0.0
3500.0,2008-04-01,Something to start my dream career.,642.0,20.62%,103xx,NY,1 year,0.0
21000.0,2008-04-01,Consolidate Credit Lower Interest Rate,,-1%,330xx,FL,< 1 year,0.0
25000.0,2008-04-01,WE NEED SOME HELP FINISHING OUR HOME!!,612.0,14.41%,023xx,MA,10+ years,0.0
15500.0,2008-04-01,Looking to Pay Off New Car,690.0,12.05%,606xx,IL,10+ years,0.0
3000.0,2008-04-01,just want to clean up credit to buy hous,0.0,0%,640xx,MO,4 years,0.0
8000.0,2008-04-01,buying buissness need to consolidate ,,-1%,420xx,KY,10+ years,0.0
3500.0,2008-04-01,CAR LOAN,481.0,4.94%,329xx,FL,1 year,0.0
5000.0,2008-04-01,Needing loan for a used car,508.0,366.67%,503xx,IA,< 1 year,0.0
25000.0,2008-04-01,Debt Consolidation,,-1%,282xx,NC,1 year,0.0
20000.0,2008-04-01,Debt Consolidation,,-1%,891xx,NV,< 1 year,0.0
3600.0,2008-04-01,Car Purchase,569.0,6.9%,112xx,NY,3 years,0.0
1000.0,2008-04-01,Need Money to pay some bills,542.0,55.73%,928xx,CA,< 1 year,0.0
25000.0,2008-04-02,Help funding an investment project,699.0,6.4%,945xx,CA,< 1 year,0.0
5000.0,2008-04-02,consolidation debt,443.0,61.1%,314xx,GA,< 1 year,0.0
25000.0,2008-04-02,Omni Adventures,687.0,13.38%,337xx,FL,3 years,0.0
500.0,2008-04-02,Small Business,517.0,13.45%,494xx,MI,< 1 year,0.0
24000.0,2008-04-02,paid all bills,,-1%,110xx,NY,10+ years,0.0
25000.0,2008-04-02,consolidate debt,517.0,15.09%,376xx,TN,< 1 year,0.0
2000.0,2008-04-02,Trying to Clean Up Debt Before Marriage,648.0,29.44%,600xx,IL,2 years,0.0
7500.0,2008-04-02,Tornados and Wedding Bells,613.0,13.31%,317xx,GA,2 years,0.0
5000.0,2008-04-02,Medical Expenses,645.0,17.62%,553xx,MN,3 years,0.0
6500.0,2008-04-02,Please help me fund my dream wedding!!!,433.0,3.51%,179xx,PA,3 years,0.0
10000.0,2008-04-02,Personal,640.0,29.73%,809xx,CO,1 year,0.0
9500.0,2008-04-02,Looking for a Loan,679.0,15.13%,338xx,FL,< 1 year,0.0
7000.0,2008-04-02,jeffsloan,626.0,34.1%,220xx,VA,10+ years,0.0
3000.0,2008-04-02,A quick 1 year loan,588.0,16.53%,200xx,DC,1 year,0.0
1500.0,2008-04-02,my future,,-1%,461xx,IN,< 1 year,0.0
3000.0,2008-04-02,Survivor of Domestic Violence,497.0,0%,212xx,MD,5 years,0.0
10000.0,2008-04-02,home_improvement,,0%,750xx,TX,< 1 year,0.0
1000.0,2008-04-02,Increase credit rating,0.0,0%,330xx,FL,3 years,0.0
25000.0,2008-04-02,2nd lien on my primary residence,556.0,0%,019xx,MA,7 years,0.0
3000.0,2008-04-02,Building A New Deck,690.0,21.8%,232xx,VA,5 years,0.0
4000.0,2008-04-02,Gilbert's move.,497.0,4.6%,791xx,TX,2 years,0.0
25000.0,2008-04-02,Debt Consolidation,666.0,36.62%,740xx,OK,3 years,0.0
4700.0,2008-04-02,Single mom needs car for new job,442.0,0%,481xx,MI,< 1 year,0.0
1500.0,2008-04-02,pay off my bills,489.0,6.5%,336xx,FL,< 1 year,0.0
15000.0,2008-04-02,Business Line of Credit,685.0,13.16%,322xx,FL,4 years,0.0
2000.0,2008-04-02,Vehicle 2008,,-1%,772xx,TX,< 1 year,0.0
7000.0,2008-04-02,Consolidate,592.0,24.31%,018xx,MA,2 years,0.0
13600.0,2008-04-02,Carreer Training Loan,667.0,26.3%,640xx,MO,10+ years,0.0
25000.0,2008-04-02,consolidation,630.0,122.4%,236xx,VA,1 year,0.0
5000.0,2008-04-02,Need a loan to pay off medical expenses,563.0,0.86%,461xx,IN,2 years,0.0
18000.0,2008-04-02,Need to purchase reliable vehicle.,533.0,0%,601xx,IL,1 year,0.0
7500.0,2008-04-02,makeway4betterthings,472.0,7.99%,330xx,FL,8 years,0.0
25000.0,2008-04-02,Consolidate debt,686.0,51.96%,729xx,AR,5 years,0.0
15000.0,2008-04-02,Post divorce recovery plan,592.0,29.91%,507xx,IA,1 year,0.0
600.0,2008-04-02,Help with high interest card,675.0,19.84%,327xx,FL,2 years,0.0
1000.0,2008-04-02,Wanting to buy a car,401.0,4.22%,321xx,FL,3 years,0.0
8000.0,2008-04-02,Insurance won't pay,487.0,7.03%,068xx,CT,3 years,0.0
1000.0,2008-04-02,Truck repairs for work,606.0,0%,128xx,NY,1 year,0.0
25000.0,2008-04-02,Big,,-1%,951xx,CA,10+ years,0.0
25000.0,2008-04-02,Private Student Loan Consolidation,684.0,34.6%,801xx,CO,3 years,0.0
3000.0,2008-04-02,Family in need ,657.0,11.81%,337xx,FL,2 years,0.0
1500.0,2008-04-02,Emergency,627.0,45.31%,760xx,UT,10+ years,0.0
2000.0,2008-04-02,need money for school,478.0,30.32%,350xx,AL,1 year,0.0
5000.0,2008-04-02,consolidate debt/move mobile home,536.0,26.4%,410xx,KY,6 years,0.0
4000.0,2008-04-02,Pay off some debt & nasty divorce,417.0,5.02%,496xx,MI,6 years,0.0
3000.0,2008-04-02,Business Financing,624.0,15.55%,482xx,MI,5 years,0.0
1250.0,2008-04-02,Small Loan for Small Business Investment,520.0,0%,346xx,FL,7 years,0.0
1500.0,2008-04-02,Paying for the rest of my rent,630.0,9.78%,131xx,NY,6 years,0.0
2500.0,2008-04-02,Payoff payday loan,632.0,51.6%,760xx,TX,< 1 year,0.0
15000.0,2008-04-02,Debt Consolidation/payment Reduction,474.0,16.24%,322xx,FL,4 years,0.0
20000.0,2008-04-02,personal loan,699.0,26.2%,113xx,NY,10+ years,0.0
10000.0,2008-04-02,Business Capital,788.0,3.66%,051xx,VT,1 year,0.0
7500.0,2008-04-02,CANOGA,775.0,1.7%,913xx,CA,10+ years,0.0
25000.0,2008-04-02,Investment Property Purchase ,709.0,20.93%,920xx,CA,10+ years,0.0
12000.0,2008-04-02,My Wonderful 3 Year Plan,610.0,26.72%,352xx,AL,2 years,0.0
20000.0,2008-04-02,Beautifying My Home,786.0,21.34%,210xx,MD,10+ years,0.0
5000.0,2008-04-02,A Better Chance,534.0,7.86%,302xx,GA,< 1 year,0.0
4000.0,2008-04-02,Personal debt consolidation,527.0,11.32%,325xx,FL,4 years,0.0
7500.0,2008-04-02,Bill,586.0,13.47%,921xx,CA,< 1 year,0.0
25000.0,2008-04-02,Everyone deserves a fresh start!!,559.0,7.71%,276xx,NC,2 years,0.0
5000.0,2008-04-02,Medical School Supplement,553.0,72%,940xx,CA,1 year,0.0
20000.0,2008-04-02,Payments of credit card debts,586.0,25.37%,207xx,MD,1 year,0.0
12000.0,2008-04-02,debt_consolidation,654.0,10.07%,606xx,IL,< 1 year,0.0
15000.0,2008-04-02,freedom,669.0,28.28%,346xx,FL,1 year,0.0
25000.0,2008-04-02,geri,647.0,23.87%,958xx,CA,9 years,0.0
7000.0,2008-04-02,LDP Personal Loan,515.0,0%,295xx,SC,10+ years,0.0
25000.0,2008-04-02,Start-up Business Money Needed,711.0,20.82%,275xx,NC,1 year,0.0
25000.0,2008-04-02,Debt Consolidation,626.0,12.7%,066xx,CT,10+ years,0.0
1000.0,2008-04-02,personal loan,512.0,26.55%,652xx,MO,4 years,0.0
6000.0,2008-04-02,Single Mom In Need,541.0,0%,061xx,CT,1 year,0.0
500.0,2008-04-02,Anyone willing to help?,428.0,22.74%,334xx,FL,1 year,0.0
3000.0,2008-04-02,business equipment,541.0,25.2%,440xx,OH,3 years,0.0
5000.0,2008-04-02,Debt Consilidation,660.0,28.6%,891xx,NV,4 years,0.0
3000.0,2008-04-02,Loan for a Student,496.0,9.33%,061xx,CA,< 1 year,0.0
2000.0,2008-04-02,Divorcing My Husband,,-1%,497xx,MI,10+ years,0.0
8000.0,2008-04-02,fresh start,546.0,1.8%,846xx,UT,2 years,0.0
3000.0,2008-04-02,Graduate Student in Need,524.0,392%,490xx,MI,1 year,0.0
2000.0,2008-04-02,get truck back,,-1%,431xx,OH,7 years,0.0
5000.0,2008-04-02,consolidate,711.0,36.79%,853xx,AZ,10+ years,0.0
9000.0,2008-04-02,stanfordApril2008TuitionPayment,658.0,660%,968xx,HI,1 year,0.0
15000.0,2008-04-02,Refinance a personal loan with HFC,651.0,30.47%,441xx,OH,10+ years,0.0
7500.0,2008-04-02,Pay off High Interest Debt,695.0,32.19%,891xx,NV,< 1 year,0.0
6000.0,2008-04-02,Need to consolidate debt,,-1%,941xx,CA,3 years,0.0
20000.0,2008-04-03,paying off high interest cards,515.0,0%,606xx,IL,5 years,0.0
25000.0,2008-04-03,business,674.0,33.23%,800xx,CO,4 years,0.0
3000.0,2008-04-03,Further my education,425.0,8.27%,329xx,FL,3 years,0.0
10000.0,2008-04-03,Bridal Business Expansion,669.0,14.55%,219xx,MD,4 years,0.0
